"Account","Last Update","OwnerId","ItemId","ItemIdHex","Character Name","Location","Tab","Row","Column","WeenieId","Item Type","Bag Name","Quantity","Binding","Item Name","Description","Minimum Level","Hardness","Item Type","Proficiency","Weapon Type","Armor Type","Item Sub Type","EquipToFlags","Equips To","Plat Value","Gold Value","Silver Value","Copper Value","Bonus Set","Set Description"
"BlackRoc2000","2/8/2022 7:11:30 PM","0","219269091569302043","030B0013B935FA1B","Darkmedley","Inventory","2","3","1","1879095858","Undef","","1","BoundToAccount","Long Lasting Elixir of Supreme Ability","This amazing elixir provides a +2 bonus to all of your character’s stats (ability scores) that stacks with all bonuses except those from the six ELIXIRS of animal ability (Bull's Might, Bear's Stamina, etc.).  (This does stack with the standard animal potions like Bull's Strength, Bear's Endurance, etc.)  This effect lasts for 60 minutes, lasts through death and rests, and cannot be dispelled.","1","0","Potion","","","","","0","","0","0","0","0","",""
"BlackRoc2000","2/8/2022 7:11:30 PM","0","219269091518846412","030B0013B63415CC","Darkmedley","Inventory","2","2","2","1879095797","Undef","","1","BoundToAccount","Siberys Spirit Cake","A colorful, fragrant, fluffy, semi-ethereal cake decorated with potent symbols of positive energy.  This cake can be eaten by ghosts and spirits as well as the living.  Once the cake is eaten, the person is imbued with the power to return someone to life.\n\nTo raise a fallen party member, use the cake from the shortcut bar after you target the ally you wish to raise.  \n\nNOTE: The target of this effect will be raised with 50 percent of their total hit points, so take care when using this item in an area that is filled with enemies.  This item cannot be used in raids or in public areas.","1","0","Potion","","","","","0","","0","0","0","0","",""
"BlackRoc2000","2/8/2022 7:11:30 PM","0","219269091360926864","030B0013ACCA6C90","Darkmedley","Inventory","1","1","2","1879103702","Undef","","1","BoundToAccount","Lesser Heart of Wood","This naturally burnished piece of wood can be used in the Reincarnation Grove in the Hall of Heroes to start the process of Lesser Reincarnation.  The Hall can be found in the Marketplace or Eveningstar.\n\nLesser Reincarnation lets you alter your ability scores, feats, skills, and spell selection by re-leveling your character from level 1 back to your current level.\n\n<rgb=#00BFFF>Class Choices</rgb>\nBy default, you take the same character class at each level as before. +1 or higher Hearts of Wood allow you to alter that many class choices (e.g. a +3 Heart of Wood lets you make different class choices at 3 different levels).\n\n<rgb=#D5D505>Important Rules</rgb>\n - During the leveling process you can never have more than 3 current OR potential classes.  The classes you had before reincarnating remain as potential classes until changed and count toward your total allowed classes.\n(Due to this rule, many multiclass characters cannot change all of their classes in one reincarnation, even with a +20 Heart of Wood.)\n - You cannot change your name, race, gender, or alignment.\n - Your appearance will need to be recreated.\n - When using a '+0' heart of wood (like this one), you do NOT need to wait 3 days before Lesser Reincarnating again.\n\n<rgb=#00BFFF>Inventory and Spells</rgb>\n - Equipped items will be unequipped and put into inventory.\n - If inventory is full, items will go into backpack overflow.  (Clear out your inventory to ensure access to your gear.)\n - Wizards keep their spell books and do not change their spells.","0","0","129","","","","","0","","0","0","0","0","",""
"BlackRoc2000","2/8/2022 7:11:30 PM","0","219269091465057845","030B0013B2FF5635","Darkmedley","Inventory","1","4","1","1879078088","Undef","","3","","Potions of Prowess +3","A small vial with an ounce of liquid within.","1","0","Potion","","","","","0","","0","0","0","0","",""
"BlackRoc2000","2/8/2022 7:11:30 PM","0","219269091367747575","030B0013AD327FF7","Darkmedley","Inventory","1","1","5","1879166292","Undef","","2","","Potions of Fire Shield (Warm)","This vial holds a red, shimmering fluid.","1","0","Potion","","","","","0","","0","0","0","0","",""
"BlackRoc2000","2/8/2022 7:11:30 PM","0","219269092161953860","030B0013DC892044","Darkmedley","Inventory","2","1","4","1879159321","Undef","","1","","Potion of Greater Heroism (Level 20)","This vial holds a pale blue, misty fluid.","1","0","Potion","","","","","0","","0","0","0","0","",""
"BlackRoc2000","2/8/2022 7:11:30 PM","0","219269091857758030","030B0013CA67774E","Darkmedley","Inventory","3","3","5","1879206769","Undef","","2","BoundToAccount","Mirrors of Glamering","Insert an item to make a cosmetic version of it.  \n\nThis consumes the Mirror.","1","0","Potion","","","","","0","","0","0","0","0","",""
"BlackRoc2000","2/8/2022 7:11:30 PM","0","219269091725759811","030B0013C2895543","Darkmedley","Inventory","3","1","5","1879246247","Undef","","1","","Potion of Rising Fury (Level 20)","This vial holds a pale blue, misty fluid.","1","0","Potion","","","","","0","","0","0","0","0","",""
"BlackRoc2000","2/8/2022 7:11:30 PM","0","219269092091875566","030B0013D85BD0EE","Darkmedley","Inventory","1","2","5","1879097997","Undef","","1","BoundToAccount","Greater Experience Elixir","This shimmering prism-like bottle has a pair of small wings on the sides and contains an ounce of light blue liquid.\n\nCan only be used on yourself.","1","0","Potion","","","","","0","","0","0","0","0","",""
"BlackRoc2000","2/8/2022 7:11:30 PM","0","219269091360927184","030B0013ACCA6DD0","Darkmedley","Equipped","1","2","3","1879050032","Undef","","0","BoundToAccount","+3 Reinforced Chain Shirt of Negative Resistance","A chain shirt protects your torso while leaving your limbs free and mobile. It includes a layer of quilted fabric worn underneath to prevent chafing and to cushion the impact of blows. Several layers of mail are hung over vital areas.","9","9","Armor","","","Light","","8","Armor","0","0","0","0","",""
